,bo6,bo11,bo12,bo14,bo15,bo16,bo18,bo19,bo28,bo30,0,1,2,3,4,0.1,1.1,2.1,3.1,4.1,0.2,1.2,2.2,3.2,0.3,1.3,2.3,3.3,4.2,5,0.4,1.4,2.4,3.4,0.5,1.5,2.5,3.5,0.6,1.6,2.6,3.6,4.3,5.1,0.7,1.7,2.7,3.7,4.4,5.2,6,7,8,9,10,0.8,1.8,2.8,0.1.1,1.1.1,2.1.1,3.1.1,4.1.1,5.1.1,0.2.1,1.2.1,2.2.1,3.2.1,4.2.1,5.2.1,0.3.1,1.3.1,2.3.1,3.3.1,0.4.1,1.4.1,2.4.1,3.4.1,4.3.1,0.5.1,1.5.1,2.5.1,3.5.1,0.6.1,1.6.1,2.6.1,0.7.1,1.7.1,2.7.1,3.6.1,0.8.1,1.8.1,2.8.1,3.7.1,0.9,1.9,2.9,3.8,4.4.1,0.10,1.10,2.10,3.9,4.5,0.11,1.11,2.11,3.10,4.6,bo2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,response
0,-1,0,-1,1,-1,0,1,1,1,-1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1,27.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0755854431541965,-1.7490425050317266,-0.14702002578550802,-0.2664631077733852,0.10509113148888607,-0.0071630014711038985,-0.020000707800720097,0.02245272823723944,0.023026094257575274,-0.03569782401407271,-0.0866162835392526,-0.03346319825564601,0.014831280523297394,0.028910881651467837,-0.005389723315764282,-0.01030559195773707,-0.007799219633791041,-0.015157295808586104,-0.02517797634663329,-0.0028420675538751283,0.021580040314791188,-0.028972817189329987,0.03375398214185185,-0.004772182030542271,-0.02876994071507188,0.0521640987298164,0.0188007109779304,0.026440975128174626,-0.01168649755555286,-0.011843962453921508,0.04458752656847029,0.000844933388910339,-0.030832413009763318,0.010287143673567069,0.0021092856684764303,0.005138767332371815,0.011904427605744622,-0.04602099981213924,0.04559476580386475,0.01479631528669056,-0.05135268292964839,0.01776289279920354,-0.04227913167119655,-0.06066857275706191,0.0880801648564241,-0.015281816346479129,0.005608425737896274,-0.1143995409881782,0.10547480010901993,0.004439819539525989,1.0
1,-1,0,-1,1,-1,-1,1,0,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,31.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.068818288035882,-1.7491587547661307,-0.14518498873734895,-0.2735040664208613,0.10844961838305336,0.004300696861455276,-0.02446118762790849,0.024531490408117092,0.022753234346991145,-0.02082888688180598,-0.08887982106363136,-0.019715212514432395,0.006234768552192344,0.018777938990021337,-0.02127151129875977,-0.029441016934322186,0.008110973344080218,-0.031226495612137226,-0.0405062597454461,-0.01250920862930863,0.015125643895151256,-0.033784312631134114,0.050106599494926254,0.02153917800954928,-0.021193305669700586,0.07943020836166244,0.013458642281739834,0.012059910928343544,-0.026030271549734144,0.01325701599407587,-0.010816385483719418,0.003020501616505061,-0.060744945967196325,0.02475888257127309,-0.031727184068734336,-0.05671602779584585,-0.009891230394302964,-0.07213283047409859,0.1524725991110198,0.01575830926540424,-0.16930451020722828,-0.04421396371033864,-0.0891228284075636,-0.04170208176081722,0.1485762608213382,0.0040485975603170455,-0.1000068474904226,-0.41360511990985616,0.04006645923398334,0.09031804267003976,0.0
2,1,1,-1,-1,0,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,36.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0880572877058732,-1.7343526114430974,-0.15852485960997734,-0.2702974582822743,0.08211475412292915,-0.01018530671580456,-0.015622273436497629,0.011717680660249929,0.002356882692487885,-0.023897920531959525,-0.05976534779155732,-0.046140188609759235,0.008765440817898202,0.0080029121249885,-0.008872020555591952,0.006449131364296554,-0.011757319789883492,0.002142209348606878,0.000543761724078665,-0.019749100825292867,-0.011394572037567623,0.017091578556944098,0.004185171613305447,-0.06791488730892448,-0.021842062592453654,0.02437394789382872,-0.030618743962617025,0.035638874832550974,0.012193518354618087,-0.0016265294513807189,0.0709481831052407,0.005828429979280715,-0.010406115394984266,-0.08038834301875526,0.020733332059608468,0.0876267819406744,0.011077206784086982,0.038308976140091884,0.0017975830590711852,0.01679920203250421,0.13684460558637734,0.011854467613610984,0.04622785476375257,-0.06760079836692222,-0.10603903451294412,0.039915428626977896,0.06630905618392338,0.11298196724881494,0.1258144054256348,0.0516018785025888,1.0
3,0,1,-1,1,0,0,1,1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,22.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0759878883391902,-1.7473611461092944,-0.15162187706338692,-0.27381339561307283,0.10825991069056487,-0.00047484613115718566,-0.019297155654939103,0.02044675899295533,0.023920658383631017,-0.031670461707519235,-0.08008823532700714,-0.036386760904695566,0.014759386726097046,0.022158306072889256,-0.007107871670476016,0.008124236572217721,-0.008388990175859135,-0.024084196002919386,-0.025134463044863074,-0.013697552511752056,0.02253681995223911,-0.028001070826478236,0.033153333326432916,-0.0060282432602684795,-0.02459944308197392,0.04973614395136265,0.01638339948165073,0.028642111362649013,0.002840413030319109,-0.018348602112952386,0.035279340221074235,-0.013493478584239202,-0.03545953061458707,0.0038665298488891812,0.003519705744806307,-0.009937909511901145,0.001920268900388601,-0.039575725923099325,0.047991875791881605,0.006739413156984675,-0.037225349872565296,-0.0005351930567114261,-0.045777256709957775,-0.05192167029699582,0.06736584638707181,0.011637733712462458,0.00031597320026397765,-0.1308216885717403,0.09907231524545827,0.011216576684360331,1.0
4,1,1,-1,-1,-1,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,52.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,17.45200151499954,2.9890549545089686,-5.642506351310758,-2.7105659970755123,0.5502312425251342,-0.104949987124806,0.9018110158222624,1.619703493125077,-1.3632768444090415,-0.3909561972547311,1.3156034841029736,1.168071403665675,1.3397705820750003,0.11221325424692924,-2.359353271788351,1.871225699377544,1.825287225701948,0.861520349295284,-0.5473273900633859,-0.4650895192598281,-0.2420150672030896,1.5091235022767957,-0.20640364970216613,0.11593334996781393,1.1761034030054227,1.7814309720065955,0.2429674322769377,0.27906043889904864,-0.37919559998612895,1.0680355550277538,0.6681680476578433,0.0035886018322937273,0.05651139047382118,-1.0254578763981672,1.3573568844476407,0.2553280661298365,0.2800651619055947,-0.9523591282616941,-1.069764478719421,0.7885343219357656,-0.04236338900631717,0.6108508713131878,-0.2369726520732696,0.37591455076122937,0.23694715814251885,0.3635293435306489,-0.17016629506700656,0.2651052308799804,-0.2596441552151235,0.9805625205898384,1.0
5,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.084105729991919,-1.7369116823226916,-0.15907071815318138,-0.2763906786040456,0.0971274283777354,-0.007232592577849994,-0.01423129734880503,0.007809768009440431,0.017748793396586183,-0.03560088504309135,-0.06762050071345226,-0.033695314221677805,0.033607767732799096,0.01893891754900246,-0.023236924497445303,0.004410244782420024,-0.00968083474069554,-0.010699869530796578,-0.001160528550041847,-0.008541124143576936,-0.007600762160465012,0.00820282451355831,0.012314045468175936,-0.022328065353048838,-0.00750598839306915,-0.010341809566311231,-0.007908025313223188,-0.0008501068939763027,0.013731693574662559,0.006510246014515261,0.01154761099638238,0.0006289918989240099,0.024713544808375527,-0.010620949493082156,0.0039841127431829645,0.02533974285971704,-0.006292504350959404,0.037724262734082345,-0.04195706099862572,-0.001846851409569884,0.07684115352881575,0.004069229011124954,0.03657794053316462,0.011857505354719123,-0.07734425273048022,0.0050977803427476156,0.0442745254245595,0.16637560669270166,0.0042504135902401135,-0.016670877505370416,0.0
6,1,1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1,36.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0787686705464783,-1.7436023855859097,-0.14517852689103952,-0.2621355219584986,0.09022568484665164,-0.012182986863632969,-0.02400240258255687,0.01913417799158446,0.013149854493795323,-0.029237501103140343,-0.07652621384962736,-0.034513155445971534,0.013769109337030344,0.017726435824685912,-0.012464264177435543,-0.008778449539855293,-0.0011566966139027939,-0.0035413136566588422,-0.01153811141455456,-0.010789163766075678,0.0008101146814938478,-0.015795550853892157,0.025726711999684203,-0.027393674650847355,-0.025468370908506274,0.0516524261439709,-0.010560092213622965,0.02433164911281269,-0.015913044924320212,-0.00169391678573776,0.06460432797980865,0.003099377500417532,-0.01805176914606725,-0.036747675741994,0.007138529718302204,0.035019860738491206,0.011838718836871669,-0.02200889649130129,0.05220267339212116,0.0282020598879128,0.003311659212050529,0.013073895373916173,-0.01768215512976927,-0.0945167139270982,0.02297302093453694,-0.011214086322471587,0.00279964422246735,-0.1025036460646569,0.09635061405055774,0.02928455434349525,1.0
7,1,0,-1,-1,-1,-1,0,1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,38.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0857202182935797,-1.7356543247864342,-0.15993199619138404,-0.2759661734554213,0.09510640159697273,-0.0092625687711156,-0.013326483715804728,0.007325455309117986,0.016897755818084715,-0.03609434504058839,-0.0663672944610584,-0.0364032374531036,0.03558702824146054,0.01956185566815393,-0.021494606590608832,0.005722564335561882,-0.013682172212149395,-0.00809513368449912,0.0016183061220446694,-0.0073621662539375314,-0.00883945037117549,0.012281106298311636,0.00885988993275859,-0.029256623763937888,-0.0071249538536720565,-0.017042043757786233,-0.008731220362210709,0.0004758771754556657,0.016073775687681133,0.008018776478921503,0.017752426369325613,0.002320156747462434,0.030692943668945736,-0.017762525253702498,0.007416486478342046,0.03720328291441967,-0.004209221084902954,0.047358367297343,-0.059670053667227725,-0.00414445699158673,0.1049064464178569,0.009479581210318713,0.050935013880820494,0.012868239804143422,-0.09556819335200156,0.0077497101966977466,0.06465262907711593,0.22429323120626748,0.009849765176212524,-0.025174732474797627,1.0
8,0,1,-1,-1,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,35.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0745341216011537,-1.7448862039570745,-0.1523498433926874,-0.2737053199254107,0.10648767504624893,0.00192220618146144,-0.018677904671584658,0.01153970588269671,0.02379899794115412,-0.029754840139900863,-0.07841692827701265,-0.02144482550536907,0.025770448760663898,0.024249748060843738,-0.020619090475392225,-0.002900624628792,0.0059472876387371785,-0.021193466562942968,-0.016112893738480946,-0.008121993273906728,0.00012580719231055918,-0.01847104525016598,0.030077910062624287,0.015765928901565515,-0.011934261057944718,0.028767312767861382,0.009629559662654502,-0.001494553422631277,8.258798981925602e-05,0.008590334396793126,-0.015226303297164153,0.003696262015228608,-0.01099286027715564,0.0197533072202369,-0.016170525469063696,-0.04028845272604613,-0.01638724120623919,-0.025324147651180063,0.05476881527859118,-0.002189160363051548,-0.05479089513152164,-0.0162468709654299,-0.03837586643780222,-0.0088983494638007,0.04979864446783875,-0.007084108626386278,-0.04937256139515079,-0.1373004167711736,-0.010029360766501424,0.0022920857592714674,0.0
9,-1,0,-1,-1,0,-1,0,-1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,36.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.422141968471297,-3.537233132066596,2.243124862067611,2.735096607532289,-0.2749027271362361,0.4744576153636154,-0.29028753944751096,-1.8097772181562235,5.560135892662428,6.975820332208079,0.458380443495099,-0.9255274851798836,-0.8767128026205278,6.272474545268307,2.842041177261064,2.1333031414064454,-1.6441834459174025,0.43253771712730377,0.9128727617297908,-1.0498821289982028,1.9520864684941328,0.7822341836818953,-2.2023007663154064,-2.3898590105747504,-0.9639088017359284,2.282104801608876,-2.8852547282906036,0.1725685534086251,0.19279999643713114,-4.0892670798337205,-3.5710299113018564,-1.583100058170105,-2.199131544718486,-2.608210135753553,-2.5606871210190314,-1.4175964217049442,-2.455969343814889,2.0657611651416645,-1.720940839360989,5.756074684425513,-2.4347425029857592,1.86585660377365,-1.145525043328758,0.21269712297524693,0.17602740264701594,1.4241789219490517,0.031180142033687786,1.0727379850791332,1.4603045294732606,-0.5276956161148701,1.0
